initial_ground_contact,take_off,landing,ground_contact_time,flight_time,jump_height,RSI,trial
9.792,10.726,11.828,0.934,1.102,1.4891629050000004,1.5943928319057818,Dynamic1.c3d
7.002,7.654,8.715,0.652,1.061,1.38041537625,2.1172014973159508,Dynamic2.c3d
5.265,5.845,6.848,0.58,1.003,1.2336185362499996,2.1269285107758615,Dynamic3.c3d
9.786,10.486,11.506,0.7,1.02,1.2757905,1.8225578571428573,Dynamic4.c3d
5.512,6.226,7.266,0.714,1.04,1.3263120000000002,1.8575798319327734,Dynamic5.c3d
3.959,4.436,5.438,0.477,1.002,1.231159905,2.5810480188679246,Dynamic6.c3d
3.911,4.374,5.256,0.463,0.882,0.9539293050000002,2.0603224730021603,Dynamic7.c3d
3.456,3.947,4.842,0.491,0.895,0.9822569062500001,2.0005232306517313,Dynamic8.c3d
4.233,4.685,5.628,0.452,0.943,1.09044158625,2.41248138550885,Dynamic9.c3d
3.819,4.276,5.159,0.457,0.883,0.95609363625,2.092108613238512,Dynamic10.c3d
4.021,4.448,5.322,0.427,0.874,0.9367029450000001,2.193683711943794,Dynamic11.c3d
4.728,5.254,6.162,0.526,0.908,1.01099898,1.9220512927756654,Dynamic12.c3d
4.484,4.984,5.902,0.5,0.918,1.0333903050000002,2.0667806100000004,Dynamic13.c3d
4.974,5.465,6.374,0.491,0.909,1.0132270762500002,2.0635989332993896,Dynamic14.c3d
4.514,4.996,5.866,0.482,0.87,0.9281486250000001,1.925619553941909,Dynamic15.c3d
4.699,5.216,6.02,0.517,0.804,0.7926676200000001,1.5332062282398455,Dynamic16.c3d
4.282,4.806,5.699,0.524,0.893,0.9778718362500002,1.866167626431298,Dynamic17.c3d
4.492,5.033,5.87,0.541,0.837,0.85907273625,1.5879348174676524,Dynamic18.c3d
4.046,4.554,5.396,0.508,0.842,0.8693671049999999,1.7113525688976376,Dynamic19.c3d
4.643,5.183,6.082,0.54,0.899,0.9910564762500002,1.8352897708333336,Dynamic20.c3d
4.83,5.36,6.26,0.53,0.9,0.9932625000000002,1.8740801886792455,Dynamic21.c3d
6.048,6.731,7.62,0.683,0.889,0.9691311262500001,1.418932834919473,Dynamic22.c3d
5.082,5.982,7.006,0.9,1.024,1.28581632,1.4286847999999999,Dynamic23.c3d
4.848,5.434,6.39,0.586,0.956,1.12071402,1.9124812627986352,Dynamic24.c3d
4.318,4.96,5.93,0.642,0.97,1.153778625,1.7971629672897196,Dynamic25.c3d
4.04,4.691,5.643,0.651,0.952,1.11135528,1.7071509677419354,Dynamic26.c3d
3.835,4.506,5.492,0.671,0.986,1.192155345,1.7766845678092398,Dynamic27.c3d
4.693,5.356,6.313,0.663,0.957,1.12305983625,1.6939062386877826,Dynamic28.c3d
4.13,4.816,5.744,0.686,0.928,1.0560268800000001,1.5393977842565598,Dynamic29.c3d
4.603,5.268,6.226,0.665,0.958,1.125408105,1.692343015037594,Dynamic30.c3d
4.603,5.27,6.193,0.667,0.923,1.04467793625,1.5662337874812593,Dynamic31.c3d
4.246,4.786,5.71,0.54,0.924,1.0469428200000002,1.9387830000000001,Dynamic32.c3d
4.592,5.193,6.132,0.601,0.939,1.0812103762499998,1.799018928868552,Dynamic33.c3d
6.164,6.685,7.611,0.521,0.926,1.0514799450000003,2.0181956717850293,Dynamic34.c3d
4.582,5.122,6.058,0.54,0.936,1.0743127200000002,1.9894680000000002,Dynamic35.c3d
5.334,5.88,6.832,0.546,0.952,1.11135528,2.0354492307692307,Dynamic36.c3d
6.566,7.126,8.051,0.56,0.925,1.0492101562500002,1.8735895647321432,Dynamic37.c3d
3.912,4.428,5.342,0.516,0.914,1.024404345,1.985279738372093,Dynamic38.c3d
3.964,4.56,5.39,0.596,0.83,0.844763625,1.4173886325503358,Dynamic39.c3d
3.546,4.073,4.952,0.527,0.879,0.9474510262500001,1.7978197841555978,Dynamic40.c3d
3.876,4.366,5.306,0.49,0.94,1.0835145,2.211254081632653,Dynamic41.c3d
